Name,G,W,L,T,AB,H,Doubles,Triples,HR,RunsScored,SB,CS,BatterBB,BatterHBP,SacFlies,SacBunts,IP,RunsAllowed,ER,ERA,PitcherK,PitcherBB,PitcherHBP,SHO,PO,A,E,DP,NCAA,WCWS,Conference,ConfNumBids,ConfTop16
Princeton,41,14,27,0,992,273,38,4,9,151,48,15,98,23,9,32,248.2,234,188,5.29,155,130,16,7,746,224,40,6,No,No,Ivy,1,0
Providence,52,30,22,0,1403,355,68,6,29,194,43,7,132,22,13,18,353.2,167,133,2.63,244,110,33,7,1061,450,66,18,No,No,Big East,1,0
Purdue,58,31,27,0,1522,426,68,9,38,285,32,10,198,50,20,10,378.1,265,220,4.07,263,217,22,3,1135,459,58,18,No,No,Big Ten,6,3
Purdue Fort Wayne,49,10,39,0,1243,298,49,2,13,133,32,11,119,30,3,40,315.2,279,203,4.5,133,262,22,0,947,443,75,24,No,No,Summit,1,0
Quinnipiac,48,15,33,0,1225,283,56,6,11,158,39,11,147,21,4,28,313.1,223,181,4.04,160,186,22,6,940,349,55,12,No,No,MAAC,1,0
Radford,59,25,34,0,1612,455,74,6,43,255,55,25,143,26,10,24,391.2,237,186,3.32,194,102,51,5,1175,380,67,16,No,No,Big South,1,0
Rhode Island,46,17,29,0,1181,307,58,3,33,154,37,13,139,8,4,18,300,211,153,3.57,223,126,20,8,900,305,60,9,No,No,Atlantic 10,1,0
Rider,52,10,42,0,1292,288,52,0,16,124,11,4,110,29,3,19,320.2,335,290,6.33,177,175,28,2,960,444,65,15,No,No,MAAC,1,0
Robert Morris,51,14,37,0,1300,312,54,3,29,162,21,6,79,27,11,27,319.2,292,229,5.01,136,130,25,2,959,451,76,16,No,No,Northeast,1,0
Rutgers,52,28,24,0,1298,330,59,7,53,233,60,21,138,46,7,37,335,215,176,3.68,185,119,30,5,1005,397,61,16,No,No,Big Ten,6,3
Sacramento St.,56,31,25,0,1546,438,75,17,43,276,53,9,147,45,13,39,386,205,159,2.88,253,172,20,9,1158,472,74,19,No,No,Big Sky,1,0
Sacred Heart,55,28,27,0,1494,411,90,4,32,214,27,1,144,16,10,43,368.1,222,169,3.21,337,209,51,5,1105,381,66,9,No,No,Northeast,1,0
Saint Francis (PA),58,29,29,0,1626,474,97,15,66,347,33,10,183,71,20,11,380,361,293,5.4,148,165,43,4,1140,450,90,12,Auto,No,Northeast,1,0
Saint Joseph's,53,28,25,0,1412,378,74,12,22,255,76,17,131,20,17,14,344.1,222,172,3.5,131,111,28,6,1033,495,67,25,No,No,Atlantic 10,1,0
Saint Louis,52,19,33,0,1386,408,71,11,43,233,22,11,107,26,9,25,325.1,314,232,4.99,171,172,20,3,976,507,80,17,No,No,Atlantic 10,1,0
Saint Mary's (CA),51,14,37,0,1265,282,37,5,7,118,35,9,108,35,6,17,332.2,271,226,4.76,216,198,29,5,998,384,71,14,No,No,WCC,1,0
Saint Peter's,56,9,47,0,1346,265,52,4,20,131,41,10,117,13,7,17,343.1,409,316,6.44,180,183,41,1,1030,411,90,8,No,No,MAAC,1,0
Sam Houston St.,55,34,21,0,1435,372,65,5,37,206,59,10,98,14,6,42,370.1,159,128,2.42,370,118,15,11,1111,286,42,12,Auto,No,Southland,1,0
Samford,54,23,31,0,1424,368,47,8,44,210,40,9,135,28,11,38,359.2,277,241,4.69,170,187,52,4,1079,446,53,27,No,No,Southern,1,0
San Diego,49,20,29,0,1204,320,58,4,15,166,18,8,157,20,13,42,311.1,248,203,4.56,224,111,34,2,932,383,54,16,No,No,WCC,1,0
San Diego St.,51,25,26,0,1372,363,59,2,16,167,49,8,109,16,5,26,343.2,239,189,3.85,188,171,34,4,1031,461,59,17,No,No,MWC,2,0
San Jose St.,53,37,16,0,1408,388,80,13,20,230,11,4,182,18,13,12,362.2,166,134,2.59,203,94,18,10,1088,408,61,26,No,No,MWC,2,0
Santa Clara,50,16,34,0,1274,343,67,8,7,179,48,11,140,33,7,56,330.1,292,239,5.06,91,181,35,1,991,463,61,22,No,No,WCC,1,0
Savannah St.,36,9,27,0,916,227,29,3,15,128,54,6,101,30,6,31,236.1,201,153,4.53,91,113,16,1,709,239,60,3,No,No,MEAC,1,0
Seattle U,54,39,15,0,1463,457,74,12,44,296,49,17,151,33,11,18,354.2,161,117,2.31,273,110,36,8,1064,445,57,26,Auto,No,WAC,1,0
Seton Hall,48,24,24,0,1264,350,84,13,35,214,39,10,136,21,11,7,317,254,194,4.28,250,143,22,2,951,372,68,17,No,No,Big East,1,0
SFA,56,35,21,0,1522,421,68,2,28,221,45,7,128,53,6,69,390.1,157,131,2.35,439,182,18,8,1171,271,40,5,No,No,Southland,1,0
Siena,47,22,25,0,1219,323,54,3,19,162,24,11,112,33,11,29,310.2,209,176,3.97,213,158,28,6,932,351,46,12,No,No,MAAC,1,0
SIUE,44,16,28,0,1181,320,66,12,21,196,77,19,100,33,9,21,285.1,260,225,5.52,182,162,39,1,856,260,43,6,No,No,OVC,1,0
South Alabama,49,18,31,0,1333,388,76,4,53,249,15,6,152,31,6,21,320.1,275,222,4.85,210,214,66,4,961,384,70,19,No,No,Sun Belt,1,0
South Carolina,53,36,17,0,1387,423,85,8,74,315,40,5,186,67,18,20,348,184,148,2.98,268,161,29,5,1044,367,63,21,At-large,No,SEC,13,6
South Carolina St.,36,0,36,0,748,152,21,1,2,50,15,4,59,6,2,9,182.1,358,286,10.98,48,247,21,0,548,279,62,8,No,No,MEAC,1,0
South Dakota,59,33,26,0,1596,459,61,12,41,275,36,17,138,20,17,18,386.2,264,210,3.8,188,139,30,11,1160,447,79,29,No,No,Summit,1,0
