Name,G,W,L,T,AB,H,Doubles,Triples,HR,RunsScored,SB,CS,BatterBB,BatterHBP,SacFlies,SacBunts,IP,RunsAllowed,ER,ERA,PitcherK,PitcherBB,PitcherHBP,PO,A,E,DP,NCAA,WCWS,Conference,ConfNumBids,ConfTop16
Northwestern St.,53,28,25,0,1364,363,63,10,36,257,49,10,,,,,340.1,200,162,3.33,226,189,,1021,343,59,13,No,No,Southland,1,0
Notre Dame,53,32,21,0,1368,393,61,7,35,242,56,10,,,,,349.2,188,138,2.76,258,186,,1049,420,59,14,At-large,No,ACC,2,1
Oakland,50,23,27,0,1355,361,53,24,26,212,23,7,,,,,334.1,208,160,3.35,211,96,,1003,409,66,9,No,No,Horizon,1,0
Ohio,53,38,15,0,1450,413,70,16,54,291,34,8,,,,,355.2,173,135,2.66,382,137,,1067,305,65,9,Auto,No,MAC,1,0
Ohio St.,48,34,14,0,1298,353,74,11,63,263,30,5,,,,,321,175,131,2.86,288,233,,963,386,50,20,At-large,No,Big Ten,5,0
Oklahoma,53,50,3,0,1357,448,71,5,71,369,64,18,220,43,12,20,342,69,58,1.19,356,64,,1026,333,15,14,Auto,Yes,Big 12,4,1
Oklahoma St.,58,38,20,0,1561,490,68,8,62,335,27,8,206,32,16,26,380.2,184,142,2.61,213,97,,1142,479,48,16,At-large,No,Big 12,4,1
Ole Miss,53,30,23,0,1414,370,55,9,24,227,80,17,,,,,363,172,140,2.7,197,84,,1089,495,54,21,At-large,No,SEC,13,9
Omaha,51,20,31,0,1321,335,61,5,36,198,51,17,,,,,330.2,288,226,4.78,184,150,,992,366,68,11,No,No,Summit,1,0
Oregon,54,47,7,0,1425,459,76,6,70,336,76,14,173,32,15,31,357,72,57,1.12,461,59,13,1071,407,34,18,Auto,Yes,Pac-12,7,5
Oregon St.,54,28,26,0,1453,384,49,4,31,208,46,8,,,,,367,203,151,2.88,272,148,,1101,426,78,17,At-large,No,Pac-12,7,5
Pacific,47,20,27,0,1240,337,58,5,25,186,21,5,,,,,311.1,223,170,3.82,217,160,,931,447,70,11,No,No,WCC,1,0
Penn,37,17,20,0,1019,303,40,7,19,196,57,8,,,,,251,205,170,4.74,168,124,16,753,220,51,4,No,No,Ivy,1,0
Penn St.,50,9,41,0,1215,264,39,4,19,130,15,7,,,,,318.1,338,271,5.96,179,176,,954,434,58,8,No,No,Big Ten,5,0
Pittsburgh,52,33,18,1,1355,361,63,4,54,258,39,8,,,,,346.1,181,150,3.03,157,112,15,1039,509,49,34,No,No,ACC,2,1
